name, xpos, ypos, frame_width, frame_height
Tank_Track_Type01_Dark_Blue,0,0,640,800
Tank_Track_Type01_Green,0,800,640,800
Tank_Track_Type01_Grey,0,1600,640,800
Tank_Track_Type01_Tan,0,2400,640,800
Tank_Track_Type02_Dark_Blue,0,3200,640,800
Tank_Track_Type02_Green,640,0,640,800
Tank_Track_Type02_Grey,1280,0,640,800
Tank_Track_Type02_Tan,1920,0,640,800
Tank_Track_Type03_Dark_Blue,2560,0,640,800
Tank_Track_Type03_Green,3200,0,640,800
Tank_Track_Type03_Grey,640,800,640,800
Tank_Track_Type03_Tan,640,1600,640,800
Tank_Body_Type01_Dark_Blue,640,2400,512,800
Tank_Body_Type01_Green,640,3200,512,800
Tank_Body_Type01_Grey,1152,2400,512,800
Tank_Body_Type01_Tan,1152,3200,512,800
Tank_Body_Type02_Dark_Blue,1664,3200,512,800
Tank_Body_Type02_Green,1280,800,512,800
Tank_Body_Type02_Grey,1280,1600,512,800
Tank_Body_Type02_Tan,1664,2400,512,800
Tank_Body_Type03_Dark_Blue,2176,2400,512,800
Tank_Body_Type03_Green,2176,3200,512,800
Tank_Body_Type03_Grey,1792,800,512,800
Tank_Body_Type03_Tan,1792,1600,512,800
Tank_Turret_Type01_Dark_Blue,2304,800,456,800
Tank_Turret_Type01_Green,2304,1600,456,800
Tank_Turret_Type01_Grey,2760,1600,456,800
Tank_Turret_Type01_Tan,2760,800,456,800
Tank_Turret_Type02_Dark_Blue,3216,800,456,800
Tank_Turret_Type02_Green,3216,1600,456,800
Tank_Turret_Type02_Grey,2688,2400,456,800
Tank_Turret_Type02_Tan,2688,3200,456,800
Tank_Turret_Type03_Dark_Blue,3144,2400,456,800
Tank_Turret_Type03_Green,3600,2400,456,800
Tank_Turret_Type03_Grey,3144,3200,456,800
Tank_Turret_Type03_Tan,3600,3200,456,800
